stage,method,cv,n_subjects,fold,n_features,n_test_subjects,n_test_epochs,train_acc,test_acc,train_auc,test_auc
1,PSD sensorimotor,LOSO,106,10,6,1,45,0.5607793307920372,0.5777777777777777,0.5784299777481596,0.5178571428571428
1,PSD sensorimotor,LOSO,106,11,6,1,45,0.5607793307920372,0.5777777777777777,0.5782948323250591,0.575098814229249
1,PSD sensorimotor,LOSO,106,12,6,1,45,0.5599322321050403,0.6,0.5776254298689294,0.621031746031746
1,PSD sensorimotor,LOSO,106,13,6,1,45,0.5603557814485387,0.5777777777777777,0.5772230475001257,0.6758893280632411
1,PSD sensorimotor,LOSO,106,14,6,1,45,0.5616264294790343,0.4666666666666667,0.578467938692861,0.47628458498023707
1,PSD sensorimotor,LOSO,106,15,6,1,45,0.559720457433291,0.6444444444444445,0.5773687269908933,0.6739130434782609
1,PSD sensorimotor,LOSO,106,16,6,1,45,0.5624735281660314,0.4222222222222222,0.5796251307671896,0.41106719367588934
1,PSD sensorimotor,LOSO,106,17,6,1,45,0.5601440067767895,0.5111111111111111,0.5785809884676383,0.5790513833992095
1,PSD sensorimotor,LOSO,106,18,6,1,45,0.5607793307920372,0.5777777777777777,0.5783558076779066,0.5968379446640316
1,PSD sensorimotor,LOSO,106,19,6,1,45,0.5609911054637865,0.5777777777777777,0.5781175769840757,0.5711462450592886
1,PSD sensorimotor,LOSO,106,20,6,1,45,0.5622617534942821,0.4888888888888889,0.5780917421975357,0.5296442687747036
1,PSD sensorimotor,LOSO,106,21,6,1,45,0.5599322321050403,0.6444444444444445,0.5773452835086827,0.7400793650793651
1,PSD sensorimotor,LOSO,106,22,6,1,45,0.5590851334180432,0.6222222222222222,0.5775956491013281,0.5573122529644269
1,PSD sensorimotor,LOSO,106,23,6,1,45,0.5595086827615418,0.4888888888888889,0.5783959954336663,0.5217391304347826
1,PSD sensorimotor,LOSO,106,24,6,1,45,0.560567556120288,0.6,0.5783088023564378,0.642292490118577
1,PSD sensorimotor,LOSO,106,25,6,1,45,0.5622617534942821,0.5333333333333333,0.5785506465294912,0.5395256916996047
