subject,fbcsp_acc,psd_acc,riemannian_acc,riemannian_recentered_acc,riemannian_nested_acc,riemannian_nested_C
44,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.6444444444444445,0.7333333333333333,0.0003
45,0.6444444444444445,0.4888888888888889,0.5555555555555556,0.5777777777777777,0.6,0.0001
46,0.6444444444444445,0.5333333333333333,0.4666666666666667,0.4444444444444444,0.5777777777777777,0.0001
47,0.5333333333333333,0.4222222222222222,0.5111111111111111,0.6,0.5333333333333333,0.0003
48,0.7555555555555555,0.4888888888888889,0.6444444444444445,0.7111111111111111,0.7555555555555555,0.0003
49,0.8222222222222222,0.4888888888888889,0.6222222222222222,0.7333333333333333,0.9111111111111112,0.0001
50,0.6222222222222222,0.4666666666666667,0.4444444444444444,0.5111111111111111,0.6222222222222222,0.0001
51,0.6,0.5555555555555556,0.5111111111111111,0.5555555555555556,0.6222222222222222,0.0003
52,0.6666666666666666,0.7555555555555555,0.6,0.5555555555555556,0.8444444444444444,0.0001
53,0.5555555555555556,0.5777777777777777,0.6,0.6444444444444445,0.5777777777777777,0.0001
54,0.6888888888888889,0.6888888888888889,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.0001
55,0.7555555555555555,0.6444444444444445,0.7111111111111111,0.7555555555555555,0.9111111111111112,0.0003
56,0.7111111111111111,0.5777777777777777,0.6444444444444445,0.6444444444444445,0.8,0.0001
57,0.5333333333333333,0.6222222222222222,0.7333333333333333,0.6888888888888889,0.6,0.0001
58,0.5555555555555556,0.6,0.4888888888888889,0.6222222222222222,0.5555555555555556,0.0001
59,0.6,0.5111111111111111,0.5333333333333333,0.5777777777777777,0.4666666666666667,0.0001
60,0.7777777777777778,0.7555555555555555,0.6,0.7333333333333333,0.8,0.0001
61,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.7111111111111111,0.8444444444444444,0.0001
62,0.9333333333333332,0.5555555555555556,0.7111111111111111,0.7111111111111111,0.9777777777777776,0.0001
63,0.5333333333333333,0.4888888888888889,0.4222222222222222,0.4666666666666667,0.6,0.0001
64,0.5333333333333333,0.6666666666666666,0.4222222222222222,0.4,0.6222222222222222,0.0001
65,0.7555555555555555,0.6666666666666666,0.6888888888888889,0.6666666666666666,0.8222222222222222,0.0001
66,0.4,0.3777777777777777,0.5777777777777777,0.5555555555555556,0.4888888888888889,0.0001
67,0.4666666666666667,0.4444444444444444,0.5111111111111111,0.5555555555555556,0.6666666666666666,0.0001
68,0.5333333333333333,0.4666666666666667,0.5111111111111111,0.6666666666666666,0.7333333333333333,0.0001
69,0.6,0.6,0.4666666666666667,0.5555555555555556,0.6222222222222222,0.0001
70,0.5777777777777777,0.4,0.5333333333333333,0.6444444444444445,0.8,0.0001
71,0.7111111111111111,0.4222222222222222,0.6222222222222222,0.7111111111111111,0.8444444444444444,0.0003
72,0.9333333333333332,0.8666666666666667,0.8,0.8666666666666667,0.9333333333333332,0.0001
73,0.7111111111111111,0.6666666666666666,0.6888888888888889,0.6444444444444445,0.8,0.0001
74,0.6,0.5111111111111111,0.5777777777777777,0.5333333333333333,0.6,0.0003
75,0.7555555555555555,0.6,0.5111111111111111,0.5777777777777777,0.8,0.0003
76,0.5333333333333333,0.6,0.4888888888888889,0.4666666666666667,0.6666666666666666,0.0001
77,0.5333333333333333,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.0003
78,0.5777777777777777,0.4888888888888889,0.4888888888888889,0.4,0.5555555555555556,0.0001
79,0.5555555555555556,0.5555555555555556,0.5777777777777777,0.5555555555555556,0.5555555555555556,0.0003
80,0.5777777777777777,0.4888888888888889,0.4666666666666667,0.5555555555555556,0.7111111111111111,0.0003
81,0.4888888888888889,0.4666666666666667,0.4888888888888889,0.6666666666666666,0.7333333333333333,0.0001
82,0.5111111111111111,0.5333333333333333,0.6222222222222222,0.6222222222222222,0.7333333333333333,0.0001
83,0.5777777777777777,0.6,0.6,0.6222222222222222,0.7333333333333333,0.0001
84,0.6,0.6222222222222222,0.5333333333333333,0.5555555555555556,0.6444444444444445,0.0001
85,0.8888888888888888,0.7111111111111111,0.6888888888888889,0.7111111111111111,0.9555555555555556,0.0001
86,0.5333333333333333,0.5555555555555556,0.6222222222222222,0.5555555555555556,0.7111111111111111,0.0001
87,0.5111111111111111,0.5333333333333333,0.6,0.5333333333333333,0.5555555555555556,0.0003
89,0.5333333333333333,0.5111111111111111,0.4666666666666667,0.4666666666666667,0.6666666666666666,0.0003
90,0.5777777777777777,0.5111111111111111,0.4666666666666667,0.4444444444444444,0.5777777777777777,0.0001
91,0.6222222222222222,0.5555555555555556,0.5111111111111111,0.5777777777777777,0.8444444444444444,0.0001
93,0.8,0.7111111111111111,0.6888888888888889,0.6888888888888889,0.9333333333333332,0.0001
94,0.6888888888888889,0.6,0.7111111111111111,0.8222222222222222,0.8888888888888888,0.0001
95,0.5111111111111111,0.4666666666666667,0.5111111111111111,0.4222222222222222,0.6666666666666666,0.0001
96,0.6222222222222222,0.4,0.5555555555555556,0.5777777777777777,0.6,0.0001
97,0.4888888888888889,0.6666666666666666,0.6222222222222222,0.7111111111111111,0.5555555555555556,0.0001
98,0.5333333333333333,0.5555555555555556,0.4888888888888889,0.4666666666666667,0.5555555555555556,0.0001
99,0.5555555555555556,0.5111111111111111,0.4444444444444444,0.4666666666666667,0.5333333333333333,0.0001
101,0.5111111111111111,0.4666666666666667,0.5111111111111111,0.5777777777777777,0.5555555555555556,0.0001
102,0.7111111111111111,0.5111111111111111,0.6444444444444445,0.7333333333333333,0.8,0.0001
103,0.6666666666666666,0.5777777777777777,0.5555555555555556,0.4666666666666667,0.6,0.0001
104,0.5,0.4285714285714285,0.4047619047619047,0.3333333333333333,0.5238095238095238,0.0001
105,0.5777777777777777,0.4888888888888889,0.5333333333333333,0.4888888888888889,0.5111111111111111,0.0001
106,0.6444444444444445,0.5333333333333333,0.6444444444444445,0.6444444444444445,0.6222222222222222,0.0003
107,0.4888888888888889,0.5333333333333333,0.5777777777777777,0.6222222222222222,0.7111111111111111,0.0001
108,0.7777777777777778,0.6,0.6,0.6444444444444445,0.8,0.0001
109,0.4888888888888889,0.4888888888888889,0.5555555555555556,0.6444444444444445,0.5555555555555556,0.0001
